plot_number,id,Ycoordinate,Xcoordinate
145,FOR to MOS,13.18008185,98.60402632
146,FOR to MOS,13.45451717,98.50700827
147,FOR to MOS,12.41696301,98.80075737
148,FOR to MOS,14.88822836,98.15936025
149,FOR to MOS,14.09052439,98.27591666
150,FOR to MOS,13.38175363,98.61884852
151,FOR to SHB,13.82432363,98.2875199
152,FOR to SHB,11.85910922,99.37882325
153,FOR to SHB,12.27465995,98.8009227
154,FOR to SHB,11.4171381,99.37478083
155,FOR to SHB,11.82811735,99.45697668
156,FOR to SHB,13.87063243,98.41862186
157,FOR to SHB,15.08415092,98.02892487
158,FOR to SHB,10.42809298,98.65523029
159,FOR to SHB,14.03770345,98.87783282
160,FOR to SHB,14.93707425,97.88447578
161,FOR to SHB,11.47861656,99.00843663
162,FOR to SHB,13.99081139,98.42885484
163,FOR to SHB,13.95523811,98.61265015
164,FOR to SHB,13.12034388,98.72395141
165,FOR to SHB,13.80070045,98.68114703
166,FOR to SHB,11.95208486,99.25755069
167,FOR to SHB,13.29630799,98.98116021
168,FOR to SHB,11.03176085,99.02713282
169,FOR to SHB,12.6864576,98.89912289
170,FOR to SHB,12.74971256,98.79643528
171,FOR to SHB,11.02502348,98.97862379
172,FOR to SHB,14.10399912,98.90047036
173,FOR to SHB,11.3524594,98.86543607
174,FOR to SHB,13.4679919,99.04464997
175,FOR to SHB,13.3332446,99.03252271
176,FOR to SHB,13.99081139,98.84252903
177,FOR to SHB,14.93404244,98.16744509
178,FOR to SHB,11.7108872,99.60924112
179,FOR to SHB,14.29534027,98.25368336
180,FOR to SHB,14.18170339,98.36507445
181,FOR to SHB,14.19153096,98.31954783
182,FOR to SHB,11.65294587,99.06216711
183,FOR to SHB,13.81294497,98.14588552
184,FOR to SHB,10.69219767,98.60402632
185,FOR to SHB,11.85371933,99.07025195
186,FOR to SHB,14.09591428,98.75224834
187,FOR to SHB,13.98407403,98.26446314
188,FOR to SHB,12.67670446,99.00839653
189,FOR to SHB,13.28204063,98.97592885
190,FOR to SHB,11.70010742,98.67409491
191,FOR to SHB,12.02889081,99.05408228
192,FOR to SHB,12.12051897,98.99209852
193,FOR to SHB,12.12051897,98.89508047
194,FOR to SHB,11.41040074,99.01006483
195,FOR to SHB,12.2983854,98.82231693
196,FOR to SHB,13.85471663,98.67409491
197,FOR to SHB,11.88471121,99.4313747
198,FOR to SHB,14.64298829,98.38034581
199,FOR to SHB,14.71305688,97.98957866
200,FOR to SHB,14.21718684,98.60941621
201,FOR to SHB,11.82340119,99.24811838
202,FOR to SHB,12.54766789,99.02578534
203,FOR to SHB,13.24359419,98.76009411
204,FOR to SHB,12.069315,98.91125015
205,FOR to SHB,14.33306952,98.08659672
206,FOR to SHB,12.73227168,98.93011477
207,FOR to SHB,11.84653281,99.4843753
208,FOR to SHB,12.8508493,98.76302812
209,FOR to SHB,12.26604605,98.92876729
210,FOR to SHB,13.27934569,99.03521766
211,FOR to SHB,14.4732067,98.21595412
212,FOR to SHB,14.01686254,98.23931031
213,FOR to SHB,14.55970163,98.10122642
